Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
OTU_3	OTU_128	0	0	NA	1	1
OTU_3	OTU_129	0	0	NA	1	1
OTU_3	OTU_130	0	0	NA	1	1
OTU_3	OTU_131	0	0	NA	1	1
OTU_3	OTU_132	0	0	NA	1	1
OTU_3	OTU_133	0	0	NA	1	1
OTU_3	OTU_134	0	0	NA	1	1
OTU_3	OTU_135	0	0	NA	1	1
OTU_3	OTU_136	0	0	NA	1	1
OTU_3	OTU_137	0	0	NA	1	1
OTU_3	OTU_138	0	0	NA	1	1
OTU_3	OTU_139	0	0	NA	1	1
OTU_3	OTU_140	0	0	NA	1	1
OTU_3	OTU_141	0	0	NA	1	1
OTU_3	OTU_142	0	0	NA	1	1
OTU_3	OTU_143	0	0	NA	1	1
OTU_3	OTU_144	0	0	NA	1	1
OTU_3	OTU_145	0	0	NA	1	1
OTU_3	OTU_146	0	0	NA	1	1
OTU_3	OTU_147	0	0	NA	1	1
OTU_3	OTU_148	0	0	NA	1	1
OTU_3	OTU_149	0	0	NA	1	1
OTU_3	OTU_150	0	0	NA	1	1
OTU_3	OTU_151	0	0	NA	1	1
OTU_3	OTU_152	0	0	NA	1	1
OTU_3	OTU_153	0	0	NA	1	1
OTU_3	OTU_154	0	0	NA	1	1
OTU_3	OTU_155	0	0	NA	1	1
OTU_3	OTU_156	0	0	NA	1	1
OTU_3	OTU_157	0	0	NA	1	1
OTU_3	OTU_158	0	0	NA	1	1
OTU_3	OTU_159	0	0	NA	1	1
OTU_3	OTU_160	0	0	NA	1	1
OTU_3	OTU_161	0	0	NA	1	1
OTU_3	OTU_162	0	0	NA	1	1
OTU_3	OTU_163	0	0	NA	1	1
OTU_3	OTU_164	0	0	NA	1	1
OTU_3	OTU_165	0	0	NA	1	1
OTU_3	OTU_166	0	0	NA	1	1
OTU_3	OTU_167	0	0	NA	1	1
