sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tp,tn,don,np,benthic_type,afdm,chl,chl_afdm,m,conductivity,time,dry_mass,perc_om
62,Boulder,MC,MD,RN,46.1415,-111.9835,6.45,78.8,17,3.591,2.973,6.1,2.3,49,10.2,145.1,136.7,0.4,Epilithon,1.629,9.39,0.058,1414,171.8,0.44,5.65,28.8
63,Boulder,MC,MD,PO,46.1418,-111.9838,6.48,79.9,17.4,3.604,3.158,4.6,2,49.3,13,145.6,139,0.3,,,,,1415,173,0.46,,
64,Boulder,MC,MD,SL,46.1436,-111.9857,6.51,84.9,20.2,4.027,2.925,7.6,11,49,14.8,180.8,162.2,0.8,Epilithon,1.131,21.19,0.187,1419,171.1,0.56,4.25,26.6
66,Boulder,OC,MD,BK,46.1419,-111.9838,3.83,47.4,17.6,3.584,2.544,4.7,7,54,16.1,135.4,123.7,0.5,FBOM,3.953,58.38,0.148,1416,170.4,0.47,16.93,23.4
68,Boulder,MC,MD,CZ,46.1435,-111.9858,6.52,84.5,19.8,4.36,2.926,4,9.3,48.3,18.3,238,224.7,0.6,Epilithon,0.546,22.12,0.405,1418,174.5,0.54,4.82,11.3
70,Boulder,OC,MD,PS,46.1474,-111.9929,,,,3.563,1.231,3.8,38,50.3,11.1,114,72.2,1.8,FBOM,35.525,779.17,0.219,1421,,0.54,289.84,12.3
72,Boulder,OC,MD,OS,46.1437,-111.9865,6.5,82.5,18.8,3.601,1.701,27.5,19,60.3,15.9,89.8,43.3,1.7,FBOM,3.33,11.16,0.033,1419,165,0.49,28.39,11.7
74,Boulder,OC,MD,PN,46.1451,-111.9867,4.62,71.2,29.1,2.667,4.135,1.8,1.7,54.7,18.7,197.7,194.3,0.1,FBOM,19.488,42.19,0.022,1417,115.7,0.59,193.31,10.1
75,Boulder,MC,DW,SR,46.1314,-111.9446,4.96,60.7,17.4,4.475,3.012,6.4,3.3,48.3,12.1,188.4,178.7,0.4,Epilithon,0.078,0.91,0.116,1400,115.4,0.34,0.13,60
76,Boulder,MC,DW,RN,46.1321,-111.9601,5.67,71,18.4,4.408,3.164,1.5,1,50.7,19.4,147.6,145.1,0.1,Epilithon,0.321,7.66,0.239,1411,194.9,0.42,1.6,20.1
77,Boulder,MC,DW,PO,46.1323,-111.9551,4.89,60.2,17.6,4.632,2.915,1.5,8,47,17.3,161.6,152.1,0.4,,,,,1408,188.9,0.39,,
78,Boulder,OC,DW,FC,46.1322,-111.9556,5.2,64.4,17.8,3.495,3.016,1.5,15.3,47,11.6,153.3,136.5,0.8,Epilithon,0.077,1.31,0.169,1409,188.4,0.4,0.2,38.8
79,Boulder,MC,DW,SL,46.1322,-111.9604,5.33,68.4,19.5,3.907,3.269,1.5,4,49.7,15,143,137.5,0.2,Epilithon,0.63,16.02,0.254,1412,125.7,0.44,2.68,23.5
81,Boulder,OC,DW,BK,46.1301,-111.9511,3.91,48.3,17.8,3.042,3.876,1.5,1.3,69.7,34.4,137.4,134.6,0.1,FBOM,18.928,50.88,0.027,1406,188.5,0.36,159.69,11.9
83,Boulder,MC,DW,CZ,46.1392,-111.9713,4.65,62.8,21.9,4.256,2.614,1.5,4,47,12,154,148.5,0.3,Epilithon,1.889,15.21,0.081,1412,173.7,0.52,6.08,31.1
85,Boulder,OC,DW,PS,46.1336,-111.9615,11.06,161.2,26.1,2.797,3.975,2.7,2.3,61,91.8,208.9,203.9,0.2,FBOM,101.184,190.44,0.019,1413,119.3,0.46,898.94,11.3
87,Boulder,OC,DW,OS,46.1403,-111.9791,6.69,92.2,22.9,5.612,1.47,3.3,14,65,45.5,121.2,103.9,0.6,FBOM,8.568,46.88,0.055,1418,113.4,0.55,56.58,15.1
89,Boulder,OC,DW,PN,46.1355,-111.9659,3.62,47.8,20.8,3.634,3.791,5.4,2,55.7,37.5,243.5,236.1,0.3,Epilithon,0.297,2.36,0.08,1411,173.7,0.5,0.58,51.4
90,Madison,MC,UP,SR,45.7282,-111.5192,9.88,107.1,19.2,15.426,2.564,1.5,1.3,62.3,19,191.1,188.3,0.1,Epilithon,6.235,45.74,0.073,1305,236.6,0.43,9.54,65.3
91,Madison,MC,UP,RN,45.7257,-111.5212,9.44,101,18.6,16.229,2.358,9.4,4.7,63.7,36.2,167,153,0.5,Epilithon,0.761,13.95,0.183,1302,237.5,0.4,1.19,64.2
92,Madison,OC,UP,FC,45.7277,-111.5182,10.29,115.5,21,15.489,2.263,17.6,5.7,66.7,13.2,189,165.8,0.8,Epilithon,1.734,54.61,0.315,1309,233.6,0.48,3.19,54.4
93,Madison,MC,UP,SL,45.7284,-111.5191,9.34,107.7,22.4,15.643,2.371,3.6,3,67,17.7,180.4,173.8,0.2,Epilithon,0.894,29.97,0.335,1309,228.3,0.5,1.65,54.2
95,Madison,MC,UP,CZ,45.7283,-111.5183,9.88,108.2,19.7,14.064,2.274,1.5,1,63.3,11.6,164,161.5,0.1,Epilithon,3.463,93.7,0.271,1308,232.2,0.44,6.27,55.3
97,Madison,OC,UP,OS,45.728,-111.519,8.84,100.2,21.5,15.373,2.482,5.6,4,68,21.5,174,164.4,0.3,Epilithon,49.35,779.69,0.158,1310,239.3,0.51,318.6,15.5
99,Madison,OC,UP,PN,45.7246,-111.5203,1.02,9.9,14.1,23.886,6.255,250.8,5,77.3,40.4,881.6,625.8,7.3,FBOM,2058.118,460.71,0.002,1302,325.6,0.39,2102.56,97.9
100,Madison,MC,MD,SR,45.7905,-111.5116,9.59,108.3,21.3,16.106,2.379,1.5,1,64.7,14.3,161.4,158.9,0.1,Epilithon,15.38,92.26,0.06,1285,236.4,0.54,21.96,70
101,Madison,MC,MD,RN,45.7921,-111.512,9.51,108.6,21.9,10.214,2.375,5.9,3,52,13.9,154.4,145.5,0.4,Epilithon,11.316,92.32,0.082,1286,236,0.56,17.33,65.3
